Unnamed: 0,省,市,区,地址,adcode,省_pos,市_pos,区_pos
0,黑龙江省,佳木斯市,,,230800,-1,0,-1
1,山东省,,,,370000,73,-1,-1
2,浙江省,衢州市,江山市,,330881,-1,-1,201
3,浙江省,杭州市,,,330100,-1,465,-1
