Unnamed: 0,省,市,区,地址,adcode,省_pos,市_pos,区_pos
0,山东省,,,,370000,97,-1,-1
1,广东省,中山市,,,442000,-1,190,-1
2,广东省,深圳市,,,440300,-1,225,-1
3,辽宁省,大连市,,,210200,-1,244,-1
4,黑龙江省,牡丹江市,宁安市,,231084,-1,-1,336
5,四川省,成都市,,,510100,-1,374,-1
6,北京市,,,,110000,403,-1,-1
7,浙江省,,,,330000,539,-1,-1
8,江苏省,苏州市,,,320500,-1,605,-1
9,广东省,中山市,,,442000,-1,633,-1
