Unnamed: 0,省,市,区,地址,adcode,省_pos,市_pos,区_pos
0,河南省,新乡市,红旗区,,410702,-1,-1,49
1,广东省,中山市,,,442000,-1,111,-1
2,黑龙江省,牡丹江市,宁安市,,231084,-1,-1,279
3,湖北省,襄阳市,,,420600,-1,413,-1
