Unnamed: 0,省,市,区,地址,adcode,省_pos,市_pos,区_pos
0,广东省,中山市,,,442000,-1,0,-1
1,海南省,省直辖县级行政区划,东方市,,469007,-1,-1,31
2,广东省,中山市,,,442000,-1,55,-1
3,黑龙江省,牡丹江市,宁安市,,231084,-1,-1,318
4,黑龙江省,牡丹江市,宁安市,,231084,-1,-1,408
